dates,adjusted,open,high,low,close,betaYearDay,sigmaDay60,pbr,institutional,foreigners,kodexGBond3Year,vkospi200,wonPerYen,wonPerDollar,dowjones,shanghai,goldFuture,wtiNY,kospi,kospi200IT,logreturn,lrClass
2010-07-01,25500,25100,25600,24550,25500,1.270929,0.000673,2.76,-155,664,52190,22.03,1409.335933,1228.8,9732.53,2373.79,1206.3,72.5,1686.24,1253.67,-0.007874056,1
2010-07-02,25300,25450,25950,25150,25300,1.272134,0.000664,2.74,-905,112,52190,22.47,1401.117701,1228.5,9686.48,2382.9,1207.4,71.9,1671.82,1239.62,-0.021978907,0
2010-07-05,24750,25300,25450,24650,24750,1.268442,0.000652,2.68,-2637,206,52170,21.56,1394.301994,1223.5,9686.48,2363.95,1207.4,71.9,1675.37,1235.51,0.043485112,3
2010-07-06,25850,24650,25850,24250,25850,1.274668,0.000671,2.8,1235,631,52185,20.28,1398.559012,1222.9,9743.62,2409.42,1194.8,72.3,1684.94,1267.18,-0.027452704,0
2010-07-07,25150,26050,26100,25150,25150,1.277343,0.000682,2.72,-678,471,52115,20.75,1399.381514,1221.8,10018.28,2421.12,1198.6,74.3,1675.65,1249.61,0.007920833,2
2010-07-08,25350,25700,26100,25300,25350,1.27382,0.000659,2.74,-873,770,52060,19.63,1366.214689,1209.1,10138.99,2415.15,1195.8,75.7,1698.64,1260.3,0.013712262,2
2010-07-09,25700,25700,25900,24950,25700,1.27118,0.000647,2.78,-1012,901,52045,18.13,1354.051305,1198.2,10198.03,2470.92,1209.6,76.1,1723.01,1282.64,0.007751977,2
2010-07-12,25900,25900,26250,25700,25900,1.267705,0.000647,2.8,-566,466,52065,18.4,1360.750198,1204.4,10216.27,2490.72,1198.5,74.3,1734.05,1297.3,-0.039375165,0
2010-07-13,24900,25750,25900,24800,24900,1.267632,0.00067,2.69,-2037,1205,52055,18.09,1376.930064,1212.8,10363.02,2450.29,1213.3,77.3,1735.08,1289.53,0.033566824,3
2010-07-14,25750,25300,25800,25050,25750,1.269659,0.00069,2.78,2401,2276,52030,18.16,1359.89601,1203.1,10366.72,2470.44,1206.8,76.8,1758.01,1314.9,-0.023576731,0
2010-07-15,25150,25600,25750,25100,25150,1.258578,0.000684,2.72,-1439,687,52105,18.69,1377.517162,1203.95,10359.31,2424.3,1208.1,76.6,1751.29,1311.1,-0.067857475,0
